Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FRS 1,462.5625,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
1,FRS 2,462.5875,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
2,FRS 3,462.6125,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
3,FRS 4,462.6375,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
4,FRS 5,462.6625,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
5,FRS 6,462.6875,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
6,FRS 7,462.7125,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
7,FRS 8,467.5625,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
8,FRS 9,467.5875,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
9,FRS 10,467.6125,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
10,FRS 11,467.6375,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
11,FRS 12,467.6625,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
12,FRS 13,467.6875,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
13,FRS 14,467.7125,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
14,GMRS 15,462.55,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
15,GMRS 16,462.575,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
16,GMRS 17,462.6,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
17,GMRS 18,462.625,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
18,GMRS 19,462.65,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
19,GMRS 20,462.675,,0,Tone,141.3,88.5,23,NN,FM,5,,,,,,
20,GMRS 21,462.7,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
21,GMRS 22,462.725,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
22,MURS 1,151.82,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
23,MURS 2,151.88,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
24,MURS 3,151.94,,0,Tone,67,88.5,23,NN,NFM,5,,,,,,
25,MURS 4,154.57,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
26,MURS 5,154.6,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
27,BUSRED,151.625,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
28,BUSPUR,151.955,,0,Tone,67,88.5,23,NN,FM,5,,,,,,
29,MAR 01A,156.05,,0,,88.5,88.5,23,NN,FM,5,,,,,,
30,MAR 03A,156.15,,0,,88.5,88.5,23,NN,FM,5,,,,,,
31,MAR 05A,156.25,,0,,88.5,88.5,23,NN,FM,5,,,,,,
32,Mar 06,156.3,,0,,88.5,88.5,23,NN,FM,5,,,,,,
33,MAR 07A,156.35,,0,,88.5,88.5,23,NN,FM,5,,,,,,
34,Mar 08,156.4,,0,,88.5,88.5,23,NN,FM,5,,,,,,
35,Mar 09,156.45,,0,,88.5,88.5,23,NN,FM,5,,,,,,
36,Mar 10,156.5,,0,,88.5,88.5,23,NN,FM,5,,,,,,
37,Mar 11,156.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
38,Mar 12,156.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
39,Mar 13,156.65,,0,,88.5,88.5,23,NN,FM,5,,,,,,
40,Mar 14,156.7,,0,,88.5,88.5,23,NN,FM,5,,,,,,
41,Mar 15,156.75,,0,,88.5,88.5,23,NN,FM,5,,,,,,
42,Mar 16,156.8,,0,,88.5,88.5,23,NN,FM,5,,,,,,
43,Mar 17,156.85,,0,,88.5,88.5,23,NN,FM,5,,,,,,
44,MAR 18A,156.9,,0,,88.5,88.5,23,NN,FM,5,,,,,,
45,MAR 19A,156.95,,0,,88.5,88.5,23,NN,FM,5,,,,,,
46,MAR 20A,157,,0,,88.5,88.5,23,NN,FM,5,,,,,,
47,MAR 21A,157.05,,0,,88.5,88.5,23,NN,FM,5,,,,,,
48,MAR 22A,157.1,,0,,88.5,88.5,23,NN,FM,5,,,,,,
49,MAR 23A,157.15,,0,,88.5,88.5,23,NN,FM,5,,,,,,
50,MAR 62,156.125,,0,,88.5,88.5,23,NN,FM,5,,,,,,
51,MAR 63A,156.175,,0,,88.5,88.5,23,NN,FM,5,,,,,,
52,MAR 65A,156.275,,0,,88.5,88.5,23,NN,FM,5,,,,,,
53,MAR 66A,156.325,,0,,88.5,88.5,23,NN,FM,5,,,,,,
54,MAR 67,156.375,,0,,88.5,88.5,23,NN,FM,5,,,,,,
55,MAR 68,156.425,,0,,88.5,88.5,23,NN,FM,5,,,,,,
56,MAR 69,156.475,,0,,88.5,88.5,23,NN,FM,5,,,,,,
57,MAR 71,156.575,,0,,88.5,88.5,23,NN,FM,5,,,,,,
58,MAR 72,156.625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
59,MAR 73,156.675,,0,,88.5,88.5,23,NN,FM,5,,,,,,
60,MAR 74,156.725,,0,,88.5,88.5,23,NN,FM,5,,,,,,
61,MAR 75,156.775,,0,,88.5,88.5,23,NN,FM,5,,,,,,
62,MAR 76,156.825,,0,,88.5,88.5,23,NN,FM,5,,,,,,
63,MAR 77,156.875,,0,,88.5,88.5,23,NN,FM,5,,,,,,
64,MAR 78A,156.925,,0,,88.5,88.5,23,NN,FM,5,,,,,,
65,MAR 79A,156.975,,0,,88.5,88.5,23,NN,FM,5,,,,,,
66,MAR 80A,157.025,,0,,88.5,88.5,23,NN,FM,5,,,,,,
67,MAR 81A,157.075,,0,,88.5,88.5,23,NN,FM,5,,,,,,
68,MAR 88A,157.425,,0,,88.5,88.5,23,NN,FM,5,,,,,,
69,WX 1,162.55,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
70,WX 2,162.4,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
71,WX 3,162.475,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
72,WX 4,162.425,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
73,WX 5,162.45,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
74,WX 6,162.5,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
75,WX 7,162.525,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
76,BMAN 1,151.82,,0,TSQL,77,77,23,NN,NFM,5,,,,,,
77,BMAN 2,151.88,,0,TSQL,77,77,23,NN,NFM,5,,,,,,
78,BMAN 3,151.94,,0,TSQL,77,77,23,NN,NFM,5,,,,,,
79,BMAN 4,154.57,,0,TSQL,77,77,23,NN,FM,5,,,,,,
80,BMAN911,154.6,,0,TSQL,97.4,97.4,23,NN,FM,5,,,,,,
81,BM ART,154.57,,0,Tone,97.4,88.5,23,NN,FM,5,,,,,,
82,KC6ULT,146.865,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,,,,,
83,WA6TOW,146.925,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,,,,,
84,LIAM,449.325,,0,DTCS,88.5,88.5,325,NN,FM,5,,,,,,
